Level US;Level FR;Question;Variables;Variables (no units);Formula;Test Answer;Numeric answer;Units 1;Solve function
Graduate;M1;A star with luminosity L=3.828e26 W at distance d=1.496e11 => intensity?;L=3.828e26 W, d=1.496e11 m;L:3.828e26, d:1.496e11;L/(4*pi*(d**2));Intensity=...=1360 W/m^2;1360;W/m^2;"def solve(L;a;d): import math;I=L/(4*math.pi*(d**2));return f'{I} W/m^2'"
8;5;A cyclist rides at v=20 km/h for t=30 min => how many meters?;v=20 km/h, t=30 min;v:20, t:30;v * t;First convert time => hours ... => 10000 m;10000;m;"def solve(v;a;t): th=t/60;dist_km=v*th;dist_m=dist_km*1000;return f'{dist_m} m'"
12;0;A comet travels at v=40 km/s for t=1 day=86400 => distance?;v=40 km/s, t=1 day=86400 s;v:40, t:86400;v * t;=3,456,000 km;3456000;km;"def solve(v;a;t): dist=v*t;return f'{dist} km'"
Undergraduate;L2;An object moves at 50 cm/s for 200 s => how many meters?;v=50 cm/s, t=200 s;v:50, t:200;v * t;=100 m;100;m;"def solve(v;a;t): dist_cm=v*t;dist_m=dist_cm/100;return f'{dist_m} m'"
11;1;A plane flies at v=900 km/h for t=2.5 h => distance in km?;v=900 km/h, t=2.5 h;v:900, t:2.5;v * t;=2250 km;2250;km;"def solve(v;a;t): dist=v*t;return f'{dist} km'"
4;CM2;A student runs at v=2 m/s for t=300 s => distance in meters?;v=2 m/s, t=300 s;v:2, t:300;v * t;=600 m;600;m;"def solve(v;a;t): dist=v*t;return f'{dist} m'"
8;5;A cyclist expends energy P=200 W for t=600 s => Joules?;P=200 W, t=600 s;P:200, t:600;P * t;=120000 J;120000;J;"def solve(P;a;t): E=P*t;return f'{E} J'"
9;Seconde;A temperature changes ... 68 F => Celsius? T_F=68 => formula?;T_F=68 °F;T_F:68;(T_F - 32)*(5/9);Substitute =>20 C;20;C;"def solve(TF): TC=(TF-32)*(5/9);return f'{TC} C'"
9;Seconde;A truck travels 360 mi at 60 mph => hours?;x=360 mi, v=60 mph;x:360, v:60;x / v;=6 h;6;h;"def solve(x;a;v): t=x/v;return f'{t} h'"
Undergraduate;L1;You deposit \$500 at 5% => interest in 1 year, no compounding?;Principal=500, Rate=5%;Principal:500, Rate:5;Principal * Rate;"\$25 from \( 500 \times 0.05 \).";25;USD;"def solve(Principal;a;Rate): interest=Principal*(Rate/100);return f'${interest}'"
11;Term;A patient weighs 70 kg => dosage=2 mg/kg => mg?;weight=70 kg, dosage=2 mg/kg;weight:70, dosage:2;weight * mg_per_kg;"\( 70 \times 2 = 140 \, \mathrm{mg} \).";140;mg;"def solve(weight;a;dosage): total=weight*dosage;return f'{total} mg'"
7;5;A car travels 100 km at 50 km/h => hours?;x=100 km, v=50 km/h;x:100, v:50;x / v;=2 h;2;h;"def solve(x;a;v): t=x/v;return f'{t} h'"
10;1;An airplane flies at v=250 m/s for t=600 s => distance in km?;v=250 m/s, t=10 min=600 s;v:250, t:600;v * t;"Convert 10 min to 600 s: ...=150000 m=150 km";150;km;"def solve(v;a;t): dist_m=v*t;dist_km=dist_m/1000;return f'{dist_km} km'"
12;0;A force F=10 N on m=2 kg => acceleration?;F=10 N, m=2 kg;F:10, m:2;F / m;"Acceleration: \( 10/2 = 5 \, \mathrm{m/s^2} \).";5;m/s^2;"def solve(F;a;m): a_=F/m;return f'{a_} m/s^2'"
Doctorate;PhD;A star at distance=10 parsec => convert if 1pc=3.26 ly?;distance_pc=10, 1pc=3.26 ly;distance_pc:10, 1pc:3.26;distance_pc * 3.26;"\( 10 \times 3.26 = 32.6 \, \mathrm{ly} \).";32.6;ly;"def solve(distance_pc;a): dist_ly=distance_pc*a;return f'{dist_ly} ly'"
Undergraduate;L2;A data storage device 2 GB => convert to MB if 1 GB=1024 MB;GB=2, 1GB=1024 MB;GB:2, 1GB:1024;GB * 1024;"\( 2 \times 1024 = 2048 \, \mathrm{MB} \).";2048;MB;"def solve(GB;a): MB=GB*a;return f'{MB} MB'"
5;CE2;A balloon circ=30 cm, diameter~circ/pi =>?;circumference=30 cm, pi=3.14;circumference:30, pi:3.14;circumference / pi;"\( 30/3.14 \approx 9.55 \, \mathrm{cm} \).";9.55;cm;"def solve(circ;pi): d=circ/pi;return f'{d} cm'"
12;Terminale;A spacecraft travels at v=15 km/s for t=2 h=7200 s => distance?;v=15 km/s, t=2 h=7200 s;v:15, t:7200;v * t;"\( 15 \times 7200 = 108,000 \, \mathrm{km} \).";108000.0;km;"def solve(v;a;t): dist=v*t;return f'{dist} km'"
Undergraduate;L3;Isothermal expansion doubles volume => P1=100 kPa => final pressure=50 kPa;P1=100 kPa;P1:100;P1/2;"For isothermal expansion ... \( P_2 = 50 \, \mathrm{kPa} \).";50;kPa;"def solve(P1): p2=P1/2;return f'{p2} kPa'"
Graduate;M1;Adiabatic: T1=300 K, T2=150 K => ratio=2.64;T1=300 K, T2=150 K, gamma=1.4;T1:300, T2:150, gamma:1.4;(T1/T2)**(1/(gamma-1));"For an adiabatic process ... ratio \( 2.64 \).";2.64;;"def solve(T1;a;T2;gamma): ratio=(T1/T2)**(1/(gamma-1));return f'{ratio}'"
Doctorate;PhD;"A black hole at T=1e-8 K => peak \lambda from b=2.9e-3?";T=1e-8 K, b=2.9e-3 m*K;T:1e-8, b:2.9e-3;b / T;"\( 2.9e-3 / 1e-8 = 2.9e5 \, \mathrm{m} \).";290000.0;m;"def solve(b;a;T): lam=b/T;return f'{lam} m'"
10;Première;A piston with V1=0.1 m^3, T1=300 K => triple => final T=900 K;V1=0.1 m^3, T1=300 K;V1:0.1, T1:300;3*T1;"\( T_2 = 3 \times 300 = 900 \, \mathrm{K} \).";900.0;K;"def solve(V1;a;T1): T2=3*T1;return f'{T2} K'"
9;Seconde;Q=5000 J => raises m=2 kg water => \Delta T? c=4184 => 0.598 K;Q=5000 J, m=2 kg, c=4184 J/(kg*K);Q:5000, m:2, c:4184;Q/(m*c);"\( 5000/(2 \times 4184) = 0.598 \, \mathrm{K} \).";0.598;K;"def solve(Q;a;m;c): dT=Q/(m*c);return f'{dT} K'"
Undergraduate;L2;A satellite orbits Earth: r=6.7e6, g=9.8 => speed=8100 m/s;r=6.7e6 m, g=9.8 m/s^2;r:6.7e6, g:9.8;(g*r)**0.5;"Orbital speed: \( \sqrt{9.8 \times 6.7\times10^6} = 8100 \,\mathrm{m/s}. \)";8100.0;m/s;"def solve(r;a;g): v=(g*r)**0.5;return f'{v} m/s'"
Graduate;M2;A fluid flows: A=0.05, v=2 => Q=0.1;A=0.05 m^2, v=2 m/s;A:0.05, v:2;A*v;"\( 0.05 \times 2 = 0.1 \, \mathrm{m^3/s}. \)";0.1;m^3/s;"def solve(A;a;v): flow=A*v;return f'{flow} m^3/s'"
Graduate;M1;Carnot engine TH=600, TC=300, QH=5000 => work=2500 J;TH=600 K, TC=300 K, QH=5000 J;TH:600, TC:300, QH:5000;1 - (TC/TH);"Efficiency = \( 1 - \frac{300}{600} = 0.5 \), Work = 2500 \,\mathrm{J}.";2500.0;J;"def solve(TH;a;TC;QH): eta=1-(TC/TH);work=eta*QH;return f'Eff={eta*100:.1f}%,Work={work} J'"
Doctorate;PhD;A neutron star M=1.4 Msun, R=10 km => escape v=6.09e8 m/s;M=1.4 Msun, R=10 km;M:1.4, R:10;((2*G*M)/R)**0.5;"Escape velocity: ... ~6.09e8 m/s";609000000.0;m/s;"def solve(G;a;M;R): ve=((2*G*M)/R)**0.5;return f'{ve} m/s'"
Graduate;M1;Water flows in pipe A1=0.2, v1=3 => A2=0.05 => v2=12;A1=0.2 m^2, v1=3 m/s, A2=0.05 m^2;A1:0.2, v1:3, A2:0.05;(A1*v1)/A2;"Using continuity: \( v_2 = 12 \,\mathrm{m/s}. \)";12.0;m/s;"def solve(A1;a;v1;A2): v2=(A1*v1)/A2;return f'{v2} m/s'"
Undergraduate;L3;A reaction releases Q=1500 J into 0.5 kg water => \Delta T=0.717 K ...;Q=1500 J, m=0.5 kg, c=4184 J/(kg*K);Q:1500, m:0.5, c:4184;Q/(m*c);"\( 1500/(0.5 \times 4184) = 0.717 \,\mathrm{K}. \)";0.717;K;"def solve(Q;a;m;c): dT=Q/(m*c);return f'{dT} K'"
Graduate;M1;A satellite orbits Earth at r=7.0e6 => speed=8290 m/s?;r=7.0e6 m, g=9.8 m/s^2;r:7.0e6, g:9.8;(g*r)**0.5;"\( \sqrt{9.8 \times 7.0\times10^6} = 8.29\times10^3 \,\mathrm{m/s}. \)";8290.0;m/s;"def solve(r;a;g): v=(g*r)**0.5;return f'{v} m/s'"
Doctorate;PhD;A photon E=4.0 eV => J if 1 eV=1.602e-19 =>6.408e-19 J;E=4.0 eV, 1eV=1.602e-19 J;E:4.0, 1eV:1.602e-19;E_eV*1.602e-19;"\( 4.0 \times 1.602\times10^{-19} = 6.408\times10^{-19} \,\mathrm{J}. \)";6.408e-19;J;"def solve(E_eV;a): E_J=E_eV*a;return f'{E_J} J'"
Graduate;M2;Mass-spring-damper m=1, c=2, k=5 => freq=2.236 rad/s;m=1 kg, c=2 Ns/m, k=5 N/m;m:1, c:2, k:5;(k/m)**0.5;"The system is underdamped ... \(\omega_n=2.236\).";2.236;rad/s;"def solve(m;a;c;k): w=(k/m)**0.5;damped='underdamped' if c*c<4*m*k else 'overdamped';return f'{w} rad/s,{damped}'"
Undergraduate;L3;Medication dosage weight=80 kg => 2.5 mg/kg => total mg?;weight=80 kg, dosage=2.5 mg/kg;weight:80, dosage:2.5;weight * mg_per_kg;"\( 80 \times 2.5 = 200 \,\mathrm{mg}. \)";200.0;mg;"def solve(weight;a;dosage): total=weight*dosage;return f'{total} mg'"
Graduate;M1;$1000 at 5% comp annually for 3y => final=1157.63;P=1000, r=0.05, t=3;P:1000, r:0.05, t:3;P*(1+r)**t;"\( 1000 \times (1+0.05)^{3} = 1157.63 \,\mathrm{USD}. \)";1157.63;USD;"def solve(P;a;r;t): A=P*((1+r)**t);return f'${A} USD'"
Doctorate;PhD;Electron in 1D well L=2 nm, n=2 => E=1.5e-19 J;L=2 nm, n=2, h=6.626e-34 J*s, m_e=9.109e-31 kg;L:2, n:2, h:6.626e-34, m_e:9.109e-31;(n**2*(h**2))/(8*m_e*(L**2));Substituting ... ~1.5e-19 J;1.5e-19;J;"def solve(L;a;n;h;m_e): E=(n*n*(h*h))/(8*m_e*((L*1e-9)**2));return f'{E} J'"
High School;Seconde;A train starts from rest, a=2, t=10 => distance=100 m;a=2 m/s^2, t=10 s;a:2, t:10;0.5 * a * (t**2);"\( \frac12 \times 2 \times 10^2 = 100 \,\mathrm{m}. \)";100;m;"def solve(a;b;t): dist=0.5*a*(t**2);return f'{dist} m'"
Undergraduate;L3;Isothermal expansion doubles volume => P1=100 kPa => final=50;P1=100 kPa;P1:100;P1/2;"For isothermal expansion ... \( P_2 = 50 \, \mathrm{kPa} \).";50;kPa;"def solve(P1): p2=P1/2;return f'{p2} kPa'"
Graduate;M1;Block m=5, F=20 => a=F/m=4 m/s^2;m=5 kg, F=20 N;m:5, F:20;F/m;"\( 20/5=4 \,\mathrm{m/s^2}. \)";4;m/s²;"def solve(m;a;F): a_=F/m;return f'{a_} m/s^2'"
Doctorate;PhD;Wave f=500 Hz, λ=0.68 => speed=340 m/s;f=500 Hz, lambda=0.68 m;f:500, lambda:0.68;f * lambda;"\( 500 \times 0.68 = 340 \,\mathrm{m/s}. \)";340;m/s;"def solve(f;a;lambda): v=f*lambda;return f'{v} m/s'"
Middle School;4ème;Convert speed 72 km/h => m/s;v_km/h=72;v_km/h:72;(v_km/h*1000)/3600;"\( 72 \times 1000 / 3600 = 20 \,\mathrm{m/s}. \)";20;m/s;"def solve(v;a): vms=v*1000/3600;return f'{vms} m/s'"
